User|Group|JobID|ReqTRES|Timelimit|Submit|NodeList|Start|End|Elapsed|State|ExitCode
|4294967294|55424047.batch|||2024-04-04T19:24:25|della-l08g5|2024-04-04T19:24:25|2024-04-04T19:26:53|00:02:28|COMPLETED|0:0
|4294967294|55424047.extern|||2024-04-04T19:24:25|della-l08g5|2024-04-04T19:24:25|2024-04-04T19:26:53|00:02:28|COMPLETED|0:0
mg2332|cs|55424094|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:25:41|della-l08g5|2024-04-04T19:25:46|2024-04-04T19:27:56|00:02:10|COMPLETED|0:0
|4294967294|55424094.batch|||2024-04-04T19:25:46|della-l08g5|2024-04-04T19:25:46|2024-04-04T19:27:56|00:02:10|COMPLETED|0:0
|4294967294|55424094.extern|||2024-04-04T19:25:46|della-l08g5|2024-04-04T19:25:46|2024-04-04T19:27:56|00:02:10|COMPLETED|0:0
mg2332|cs|55424099|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:25:48|della-l08g5|2024-04-04T19:26:31|2024-04-04T19:29:21|00:02:50|COMPLETED|0:0
|4294967294|55424099.batch|||2024-04-04T19:26:31|della-l08g5|2024-04-04T19:26:31|2024-04-04T19:29:21|00:02:50|COMPLETED|0:0
|4294967294|55424099.extern|||2024-04-04T19:26:31|della-l08g5|2024-04-04T19:26:31|2024-04-04T19:29:21|00:02:50|COMPLETED|0:0
mg2332|cs|55424166|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:31:32|della-l08g5|2024-04-04T19:32:05|2024-04-04T19:34:12|00:02:07|COMPLETED|0:0
|4294967294|55424166.batch|||2024-04-04T19:32:05|della-l08g5|2024-04-04T19:32:05|2024-04-04T19:34:12|00:02:07|COMPLETED|0:0
|4294967294|55424166.extern|||2024-04-04T19:32:05|della-l08g5|2024-04-04T19:32:05|2024-04-04T19:34:12|00:02:07|COMPLETED|0:0
mg2332|cs|55424167|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:31:39|della-l08g5|2024-04-04T19:32:05|2024-04-04T19:34:58|00:02:53|COMPLETED|0:0
|4294967294|55424167.batch|||2024-04-04T19:32:05|della-l08g5|2024-04-04T19:32:05|2024-04-04T19:34:58|00:02:53|COMPLETED|0:0
|4294967294|55424167.extern|||2024-04-04T19:32:05|della-l08g5|2024-04-04T19:32:05|2024-04-04T19:34:58|00:02:53|COMPLETED|0:0
rajivs|orfe|55424284_0|billing=3,cpu=1,gres/gpu=1,mem=40960M,node=1|00:59:00|2024-04-04T19:39:40|della-l08g5|2024-04-04T19:40:01|2024-04-04T20:25:58|00:45:57|CANCELLED by 152708|0:0
|4294967294|55424284_0.batch|||2024-04-04T19:40:01|della-l08g5|2024-04-04T19:40:01|2024-04-04T20:25:59|00:45:58|CANCELLED|0:15
|4294967294|55424284_0.extern|||2024-04-04T19:40:01|della-l08g5|2024-04-04T19:40:01|2024-04-04T20:25:58|00:45:57|COMPLETED|0:0
mg2332|cs|55424316|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:41:40|della-l08g5|2024-04-04T19:41:55|2024-04-04T19:44:43|00:02:48|COMPLETED|0:0
|4294967294|55424316.batch|||2024-04-04T19:41:55|della-l08g5|2024-04-04T19:41:55|2024-04-04T19:44:43|00:02:48|COMPLETED|0:0
|4294967294|55424316.extern|||2024-04-04T19:41:55|della-l08g5|2024-04-04T19:41:55|2024-04-04T19:44:43|00:02:48|COMPLETED|0:0
mg2332|cs|55424442|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:48:35|della-l08g5|2024-04-04T19:49:01|2024-04-04T19:51:47|00:02:46|COMPLETED|0:0
|4294967294|55424442.batch|||2024-04-04T19:49:01|della-l08g5|2024-04-04T19:49:01|2024-04-04T19:51:47|00:02:46|COMPLETED|0:0
|4294967294|55424442.extern|||2024-04-04T19:49:01|della-l08g5|2024-04-04T19:49:01|2024-04-04T19:51:47|00:02:46|COMPLETED|0:0
mg2332|cs|55424572|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:54:23|della-l08g5|2024-04-04T19:54:52|2024-04-04T19:57:03|00:02:11|COMPLETED|0:0
|4294967294|55424572.batch|||2024-04-04T19:54:52|della-l08g5|2024-04-04T19:54:52|2024-04-04T19:57:03|00:02:11|COMPLETED|0:0
