152378921287,1715971587007831085,1715971739386752372,della-l08g4,1
148242608540,1715971742783460694,1715971891026069234,della-l08g4,1
148575536518,1715971893633372454,1715972042208908972,della-l08g4,1
148776930587,1715972045038478922,1715972193815409509,della-l08g4,1
148748790413,1715972196445377270,1715972345194167683,della-l08g4,1
150360283564,1715972347818052980,1715972498178336544,della-l08g4,1
147763998557,1715972500848279301,1715972648612277858,della-l08g4,1
149768612729,1715972656366927229,1715972806135539958,della-l08g4,1
148383237425,1715972809582792869,1715972957966030294,della-l08g4,1
149216799751,1715972962273494705,1715973111490294456,della-l08g4,1
150377537981,1715973114261821949,1715973264639359930,della-l08g4,1
149321470109,1715973267337411676,1715973416658881785,della-l08g4,1
150946520709,1715973419320140602,1715973570266661311,della-l08g4,1
148365340830,1715973572958208591,1715973721323549421,della-l08g4,1
147818770129,1715973724040869037,1715973871859639166,della-l08g4,1
149992784744,1715973874580149312,1715974024572934056,della-l08g4,1
149423605730,1715974027244935404,1715974176668541134,della-l08g4,1
148742166884,1715974180781696212,1715974329523863096,della-l08g4,1
149256092070,1715974332165173770,1715974481421265840,della-l08g4,1
147520798485,1715974484292898422,1715974631813696907,della-l08g4,1
