jdezoort|physics|55436391_0|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T00:36:05|della-l08g5|2024-04-05T00:36:59|2024-04-05T01:01:08|00:24:09|FAILED|1:0
|4294967294|55436391_0.batch|||2024-04-05T00:36:59|della-l08g5|2024-04-05T00:36:59|2024-04-05T01:01:08|00:24:09|FAILED|1:0
|4294967294|55436391_0.extern|||2024-04-05T00:36:59|della-l08g5|2024-04-05T00:36:59|2024-04-05T01:01:08|00:24:09|COMPLETED|0:0
sulinl|ee|55437032|billing=5,cpu=1,gres/gpu=1,mem=65536M,node=1|00:59:00|2024-04-05T01:06:55|della-l08g5|2024-04-05T01:07:53|2024-04-05T02:12:16|01:04:23|TIMEOUT|0:0
|4294967294|55437032.interactive|||2024-04-05T01:07:53|della-l08g5|2024-04-05T01:07:53|2024-04-05T02:13:00|01:05:07|CANCELLED|0:9
|4294967294|55437032.extern|||2024-04-05T01:07:53|della-l08g5|2024-04-05T01:07:53|2024-04-05T02:12:16|01:04:23|COMPLETED|0:0
xinyut|ee|55437112|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|01:00:00|2024-04-05T01:09:44|della-l08g5|2024-04-05T01:09:56|2024-04-05T01:11:20|00:01:24|CANCELLED by 152871|0:0
|4294967294|55437112.batch|||2024-04-05T01:09:56|della-l08g5|2024-04-05T01:09:56|2024-04-05T01:11:21|00:01:25|CANCELLED|0:15
|4294967294|55437112.extern|||2024-04-05T01:09:56|della-l08g5|2024-04-05T01:09:56|2024-04-05T01:11:20|00:01:24|COMPLETED|0:0
|4294967294|55437112.0|||2024-04-05T01:09:58|della-l08g5|2024-04-05T01:09:58|2024-04-05T01:11:22|00:01:24|CANCELLED|0:15
xinyut|ee|55437150|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|01:00:00|2024-04-05T01:11:16|della-l08g5|2024-04-05T01:11:52|2024-04-05T01:16:26|00:04:34|CANCELLED by 152871|0:0
|4294967294|55437150.batch|||2024-04-05T01:11:52|della-l08g5|2024-04-05T01:11:52|2024-04-05T01:16:27|00:04:35|CANCELLED|0:15
|4294967294|55437150.extern|||2024-04-05T01:11:52|della-l08g5|2024-04-05T01:11:52|2024-04-05T01:16:26|00:04:34|COMPLETED|0:0
|4294967294|55437150.0|||2024-04-05T01:11:54|della-l08g5|2024-04-05T01:11:54|2024-04-05T01:16:28|00:04:34|CANCELLED|0:15
